COMPLETE 3-TIER TOPIC HIERARCHY - ALL 1,084 TOPICS
====================================================================================================

TIER 1: DOMAINS (Top 30 largest topics)
----------------------------------------------------------------------------------------------------
Rank  ID     Topic Name                                    Videos   Category                  Subcategory         
994   993    Container Shipping                            34       Home & Garden             Home Improvement    
995   994    Automotive & Car Repair                       34       Automotive                Car Maintenance     
996   995    Tab Galaxy                                    34       Entertainment             General             
997   996    Straight Spent                                34       Entertainment             General             
998   997    Cooking & Recipes                             34       Food & Cooking            Recipes             
999   998    Tuckman Jeopardy                              34       Entertainment             General             
1000  999    Demand Print                                  34       Entertainment             General             
1001  1000   Photography                                   34       Creative                  Photography         
1002  1001   Cooking & Recipes                             34       Food & Cooking            Recipes             
1003  1002   Sharpen Planer                                34       Entertainment             General             
1004  1003   Dirt Beginner                                 34       Entertainment             General             
1005  1004   Automotive & Car Repair                       34       Automotive                Car Maintenance     
1006  1005   Screenflow Screen                             33       Entertainment             General             
1007  1006   Bros Smash                                    33       Entertainment             General             
1008  1007   Skateboard Electric                           33       Entertainment             General             
1009  1008   Squats Squat                                  33       Entertainment             General             
1010  1009   Online Nobs                                   33       Technology                General Tech        
1011  1010   Chicken Jerky                                 33       Entertainment             General             
1012  1011   Language Learning                             33       Education                 Languages           
1013  1012   Crunchlabs Camp                               33       Sports & Fitness          Athletics           
1014  1013   Automotive & Car Repair                       33       Automotive                Car Maintenance     
1015  1014   Refused Him                                   33       Entertainment             General             
1016  1015   Mercenary Tryouts                             33       Entertainment             General             
1017  1016   Riscv Slu                                     33       Geography & Culture       Places to Live      
1018  1017   Language Learning                             33       Education                 Languages           
1019  1018   Apps Productivity                             33       Pets & Animals            Pet Care            
1020  1019   Zbrush Hang                                   33       Entertainment             General             
1021  1020   Wecreat Makeit                                33       Technology                General Tech        
1022  1021   Pocket Kreg                                   33       Entertainment             General             
1023  1022   Neutrona Wand                                 33       Geography & Culture       Places to Live      
1024  1023   Engraver Engraving                            33       Law & Legal               Legal Education     
1025  1024   Automotive & Car Repair                       33       Entertainment             Challenges          
1026  1025   Damascus Titanium                             33       Entertainment             General             
1027  1026   Texture Drywall                               32       Entertainment             General             
1028  1027   Motors Motor                                  32       Entertainment             General             
1029  1028   Woodworking Projects                          32       DIY & Crafts              Woodworking         
1030  1029   Photography                                   32       Creative                  Photography         
1031  1030   Mrrf Hill                                     32       Entertainment             General             
1032  1031   July June                                     32       Entertainment             General             
1033  1032   Sponsored Fabletics                           32       Entertainment             General             
1034  1033   Co2 Fiber                                     32       Entertainment             General             
1035  1034   Planter Flower                                32       Home & Garden             Home Improvement    
1036  1035   Filmmaking Iphone                             32       Pets & Animals            Pet Care            
1037  1036   Studios Universal                             32       Pets & Animals            Pet Care            
1038  1037   Score Credit                                  32       Entertainment             General             
1039  1038   Cordless Kumafurniture                        32       Reviews                   Product Reviews     
1040  1039   Ads Facebook                                  32       Social Media              Platform Growth     
1041  1040   Lane Lightning                                31       Entertainment             General             
1042  1041   Valorant Gaming                               31       Gaming                    Valorant            
1043  1042   Motorcycles                                   31       Automotive                Motorcycles         
1044  1043   Run Faster                                    31       Sports & Fitness          Athletics           
1045  1044   Airbrush Blackest                             31       Entertainment             General             
1046  1045   Tax Taxes                                     31       Law & Legal               Legal Education     
1047  1046   Cookie Cookies                                31       Entertainment             General             
1048  1047   Soldering Soldr                               31       Entertainment             General             
1049  1048   Monport Onyx                                  31       Entertainment             General             
1050  1049   Imagine Vote                                  31       Entertainment             General             
1051  1050   Fractal Mastodon                              31       Geography & Culture       Places to Live      
1052  1051   Staying Hotel                                 31       Entertainment             General             
1053  1052   Tan Magic                                     31       Entertainment             Comedy              
1054  1053   Products Amazon                               31       Entertainment             General             
1055  1054   Etsy Demand                                   31       Entertainment             General             
1056  1055   Epoxy Resin                                   30       Entertainment             General             
1057  1056   Decorate Decorating                           30       Home & Garden             Home Improvement    
1058  1057   Armstrongs Mat                                30       Home & Garden             Home Improvement    
1059  1058   Decorative Pieces                             30       Home & Garden             Home Improvement    
1060  1059   Wacom Cintiq                                  30       Reviews                   Product Reviews     
1061  1060   Tank Printed                                  30       Entertainment             General             
1062  1061   Monopoly Survived                             30       Entertainment             General             
1063  1062   Voron 1000Mms                                 30       Entertainment             General             
1064  1063   Forgave Life                                  30       Entertainment             General             
1065  1064   Amazon FBA Business                           30       Business                  Amazon              
1066  1065   Lismore Lucy                                  30       Entertainment             General             
1067  1066   Howes Lewis                                   30       Entertainment             Challenges          
1068  1067   Animatronic Fnaf                              30       Entertainment             General             
1069  1068   Wgu Degree                                    30       Pets & Animals            Pet Care            
1070  1069   Chords Chord                                  30       Entertainment             General             
1071  1070   Para Marcenaria                               30       Entertainment             General             
1072  1071   Photography                                   30       Psychology                Personal Development
1073  1072   Moto Oppo                                     30       Entertainment             General             
1074  1073   Mallet Mallets                                30       Entertainment             General             
1075  1074   Motorcycles                                   30       Sports & Fitness          Athletics           
1076  1075   Huion Kamvas                                  30       Reviews                   Product Reviews     
1077  1076   Bits Stuff                                    30       Entertainment             General             
1078  1077   Hole Black                                    30       Entertainment             General             
1079  1078   Crafting Projects                             30       DIY & Crafts              Crafts              
1080  1079   Realestate Realestateinvesting                30       Entertainment             General             
1081  1080   Cooking & Recipes                             30       Food & Cooking            Recipes             
1082  1081   Winger Mike                                   30       Entertainment             General             
1083  1082   Automotive & Car Repair                       30       Automotive                Car Maintenance     
1084  1083   Jobs Online                                   30       Entertainment             General             


SUMMARY STATISTICS
----------------------------------------------------------------------------------------------------
Total Topics: 1084
Tier 1 (Domains): 30 topics
Tier 2 (Niches): 220 topics
Tier 3 (Specific): 834 topics
Total Videos: 130,235
